Summary,Text,City,State,Date,Month_Year Display,Month_Year ID,Year,Month,Time,Miss Lon/Lat,City_Lat,City_Long,Shape,Duration (days),durationHr,durationMin,durationSec,Duration,report_link,Abduct,Aliens,Area 51,Coverup,Craft,Disappear,Hover,Light,Memory,Object,Orbs,Blue,Green,Orange,Purple,Red,White,Yellow
"((HOAX??))  Appeared solid, silver metallic, soundless, moved quickly and with precision.","Appeared solid, silver metallic, soundless, moved quickly and with precision. Silver craft, oblong saucer shaped.  There was only one. Standing on the hill at my condo looking east, (I lived on the hill overlooking Southcenter Mall.) it lowered and raised itself several times.   It was about a 100' long, I saw it very close one day.  It had a smoothly textured (looked like brushed aluminum) skin. At that time I had recently quit working at Boeing.  I worked there for 13 years. ((NUFORC Note:  We have reconsidered this case, and have finally elected to post it.  We do not know whether it was intended as a serious report.  No date was indicated by the source, so we have assigned an arbitrary date.  PD))",Tukwila,WA,2005-11-09,Nov 2005,200511,2005,11,12:00:00,0.00,47.474,-122.261,disk,2.538194444,60.91666667,3655,"219,300.00",several months,http://www.nuforc.org/webreports/047/S47587.html,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
bright lights  in NY sky,"bright lights  in NY sky I still have goosebumps.   At about 1:30 a.m i was looking out my window in the north east direction, and I noticed a really bright star in the sky.  It was white and red , flashing , and there seemed to be like a spotlight coming down from it.  The sky around it also seemed to be illuminated.   I thought maybe its a planet but it was moving way too fast.  It would move left to right, up and down and it would get brighter and dimmer at times.   A commercial plane went by at one point and the light just faded into the sky.  It blended in with the other stars, that's how far away it appeared.   Then about 2 minutes later it was back, and this time there was another light in the distance.  For the next 3.5 hours these 2 lights moved around the sky in speeds that were out of this world. I can't believe it.  Did any one else report these lights in the NY, CT area.",Flushing,NY,2005-08-04,Aug 2005,200508,2005,8,01:30:00,0.00,40.75329127,-73.81827795,light,1.270833333,30.5,1830,"109,800.00",31/2 HRS,http://www.nuforc.org/webreports/065/S65031.html,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0
Hovering triangle shaped aircraft that the military DID see no matter what they report to the public.,"Hovering triangle shaped aircraft that the military DID see no matter what they report to the public. We were outside smoking cigarettes. I had a 3 month old in my house and my cousin's 2 week old baby was inside as well so now you can see why we were sitting outside on a cool fall, almost winter evening. It was almost dusk and about 5 miles away we could see something flying and it had a bright light so we figured police copters looking for drugs. It was very low to the ground. It is normal to see cops looking for pot fields around here and if they think they have a moving meth lab the copter is out too. So we were watching cuz this is a small town. We all know each other if we aren't already related to them or married into the family. And it happened to be over top where a lot of my friends and family lived so I was really curious.So here we are cracking jokes about which friend/family member it could be and It darted sideways up! Totally from the left side at the bottom of the sky to the far right and high. After we were through freaking out at how it did that, then it dawned on us what happened and we started saying ufo! And we came in and got everyone in my house to go outside and look. (of course we told them we thought it was cops and how it darted there in the sky.) This thing hovered. It didn't move. I tried to take pictures of it but I have a pretty crappy cam when it comes to taking pictures of the sky. Even when we have a huge full moon that is bright I can't even get a dot on my cam. But I tried anyway. It wasn't like the thing was going anywhere. I got a blurry spot in the blackness of the sky with these pics BTW. We had been watching it for about 20 minutes when a passenger plane started it's nightly route to where ever. We watched this plane go straight towards it and we were like, ""It's going to move"" and it didn't. The plane kinda moved around it. It was like maybe 30 minutes after that we had military aircraft flying towards it. The funny thing was we were like ""should we call the air force? call the police? call someone?"" and we pretty basically agreed no that if the military was involved they would say it was one of theirs they were testing or a weather ballon or something like that. What could local police do? And we thought if we called the local tv station they would laugh at us. So we just sat there talking and watching. Well here comes the military and we were like ""YEAH! Now it is going to get interesting."" And we watched 4 air craft fly up towards it and go completely around it like they were circling this object of prey. It was as if there was an invisible barrier stopping air craft from getting close because we used the trees as guides and we could tell before they got to a certain tree they would go around. We watched the military planes for a long time play cat and mouse and finally the object moved a tiny bit. And then it disappeared. Now what I really found odd was the planes still could not go into the area of the sky that the object occupied. After the military left we came in and warmed up and that is when my mom told me she had seen the same object before from her bedroom window one night and she watched it for hours because it scared her. She saw it in summer on the other side of town in a completely different year. Well when we went out (we walk people to the door if not their car still here in the south) it was back, in the same place. My cousin says, ""They cloaked!"" He was convinced they cloaked themselves and hid. And we watched it for a minute or two but it was too cold to stay out there. So every little bit I would walk out my back door and look at it and it would still be there. I went to sleep at 12 that night and when I went to bed it was still there. A few weeks later, my cousin and his wife who were here that night and living in the same house my mom lived in when she saw the object that summer night, called me at like 6 am telling me they had been watching it stince about 2 am when they went out to smoke. And they reported they saw it two or three more times after that too. Plus as of 6-21-2006 they are still reporting seeing this object at my aunt's house. I will go in to my paint shop pro and try to make a pic of what it looked like-well the lights on it. I can't draw the ship. ((NUFORC Note:  Witness indicates that the date of the event is approximate.  PD))",Easley,SC,2005-12-01,Dec 2005,200512,2005,12,17:00:00,0.00,34.8141922,-82.57285603,triangle,0.208333333,5,300,"18,000.00",5 hours,http://www.nuforc.org/webreports/051/S51052.html,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,1,0,0
((HOAX??))  Aliens and UFOs on Halloween night near HAARP!!!,"Aliens and UFOs on Halloween night near HAARP!!! After seeing what looked like a meteor falling out of the sky, on a trip to Valdez, we were followed by black suvs, a helicopter, firetrucks, and Alyeska pipeline response vehicles.  It was a clear night, but we soon were driving through what was to be guessed as a fog bank.   After rolling down the windows we soon discovered the fog was actually wood smoke.  After exitting the smoke later down the road a small glowing cone shaped object was seen innthe rearview mirror following us down the road.  It soon disappeared my view, as it was to close to the rear of the vehicle.  When it was out of my view the car backfired, and I saw sparks in the rearview passenger mirror, as if the object had hit the ground and rolled on the asphault.   Later down the road coming to a bridge, four figures were crossing the road towards the west.  Unbelievable, but I swear as we passed they were greys, in the middle of the winter and naked.  Ten minutes later, about one hundred feet out from the vehicle a red ball was following us.  Staying the same rate as us, and the same altitude as us, as we were heading up Thompson pass.  Nothing out of the ordinary until we got to the top of the pass.   Then I saw what looked what to be a giant pyramid hovering over Valdez.  It had three lights, one on each corner.  After we got through the pass and into the canyon before Valdez, I lost sight of the triangular shape in the sky.   Once we got through the canyon and close to Valdez, I noticed the object was gone.  Before getting onto the ferry we noticed Alyeska pipeline response vehicles driving all over the city of Valdez.",Glennallen,AK,2005-11-01,Nov 2005,200511,2005,11,00:30:00,1.00,62.1278,-145.7693,other,0.145833333,3.5,210,"12,600.00",3.5 hrs.,http://www.nuforc.org/webreports/084/S84294.html,0,1,0,0,0,1,1,1,0,1,0,0,0,0,0,1,0,0
7/4/05   seven to eleven(approx) Northwest of Ft. Lauderdale-saucer shape-light on top pulsing- 5/24/06,"7/4/05   seven to eleven(approx) Northwest of Ft. Lauderdale-saucer shape-light on top pulsing- 5/24/06 The object which appeared to be saucer shaped with a bright light on top and a darkness underneath was situated a few thousand feet above the earth stationary. The light on top obliterated the true shape of the craft wnw from the town of Davie. It appeared top be watching the fireworks and left before they ended. I noticed the craft when I looked outside to see the fireworks and wondered what it was. I had never seen a craft in the air that was stationary for so long It was about 15 degrees north of where the airliners come in for a landing to Ft. Lauderdale airport. I checked every half hour or so to see it sitting in the air at exactly the same place. When the fireworks slowed down, I looked and it was gone. I did not see it leave.",Davie,FL,2005-07-04,Jul 2005,200507,2005,7,19:00:00,0.00,26.0629,-80.2331,disk,0.125,3,180,"10,800.00",3 hours,http://www.nuforc.org/webreports/050/S50735.html,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0
"Three-Hour UFO Sighting Accompanied By:  A Beam Of Light - A Nosey Helicopter - And A Creature,","Three-Hour UFO Sighting Accompanied By:  A Beam Of Light - A Nosey Helicopter - And A Creature, I live on a 15-acre field surrounded by forest. Our house is almost dead center in the middle of the field. One night I was chatting online and surfing the internet when I decided to go outside on the patio to have a cigarette. That's when I looked up into the sky. There was a beam of light that was circling, similar to that if you hold a string with a washer, used as a pendelum. There was only one beam of light. The sighting took many forms. There was a while where there were three crafts orbiting in a counter-clockwise fasion. They were oval shaped, solid (non-transparent), and bright white. They were 3/4 the size of a full moon. No other details on their cosmetic forms. The night this happened, the sky was completely clear. No clouds whatsoever, no visible fog. These crafts or orbs were amazingly fast, faster than any aircraft or vehicle that I know of, that is known to man, that has this technology. Before the crafts emitted the beam of light, the crafts seem to have multiplied to form a strand of what I like to call orbs, similar to that of a pearl necklace in an upward movement every rotation. The crafts slinkied up like this to make it look like there were several crafts (maybe there were) then returning back to one craft. Weather balloon, no. Too fast and sporadic. I mean these crafts were FAST when they were moving. Blink and it's on the other side of the sky. I seen the shapes perfectly, they were a ""perfect"" oval shape. They were silent. For some background. I live in the middle of a 15 acre field. I am reposting this because it's now Aug 19th, 2010, and I can't seem to find and answers on what I saw. Since this happened, I have been increasingly interested in paranormal events, UFO's, and other things of the sort. I have respect for those who try to debunk phenomenons to prove they are fake or man-made. It's how you find answers. Even though I have not really done scientific or physical research on my sighting, I have a hard time thinking it something fake or man-made. It was way too elaborate and extraordinary. I saw my sighting above the treelines in my field. The forest beyond where I seen the crafts travels a little ways, but then comes to another field owned by a farmer whos name I will exclude from here. Beyond that is more forest, and a few country residental houses. Nothing very populated by any means. The next morning (close to noon), there was a helicopter flying very low right above the tree-line exactly where I saw the crafts. Almost as if the government or a private helicopter owner was checking the scene out. As if they seen it too, or knew something. I've NEVER seen helicopters there the 10 years i've been living there. Just that morning. Even odder yet, about a week or so after the sighting I was relentlessly looking out my bedroom window, between 3 to 5 am, and that is when I seen something moving in the tall grass of the field. I had a pair of binoculars handy, you know, since I just got done witnessing the UFO's earlier the last week or so. I seen a creature. It was crouching at about 4 1/2 5 feet tall. It was making strange gestures. It's arms and hands were moving in almost a wave-like motion, like taunting. It was bobbing up and down a little, and left to right slightly. It was dark colored, perhaps a dark grey or brown. The most amazing thing about it was it's eyes. They were the size of grapefruits -- bright yellow, to yellowish-orange. I Never seen this creature before, or again. My reason for reposting this 5 years later is because I have now since moved. I wanted the full report to be known finally. I was younger then. It had typos. It was poorly written. It was missing much info because it was rushed. I still remember the incident(s) like it was yesterday. The details are still very fresh in my mind. It is VERY important to me to notify the new house and land owners of this incident. I have and still strongly believe there is something in the woods and field. There is something out there still. Either it's always been there or it has been left behind - or placed. Thanks for reading...",Pelican Lake,WI,2005-09-03,Sep 2005,200509,2005,9,23:00:00,0.00,45.5102,-89.2359,oval,0.125,3,180,"10,800.00",3 hours,http://www.nuforc.org/webreports/077/S77567.html,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,1,1
2-3 hour observation of Triangle craft while hunting top of trees 150 to 160  yards away,2-3 hour observation of Triangle craft while hunting top of trees 150 to 160  yards away ((name deleted)) ((NUFORC Note:  Illustration provided with report.  PD)),Green Sea,SC,2005-10-05,Oct 2005,200510,2005,10,16:00:00,0.00,34.1722,-78.9542,triangle,0.125,3,180,"10,800.00",2-3 hours,http://www.nuforc.org/webreports/090/S90356.html,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Unusual activity in our small community, crafts seem to hover with lights not like anything recognizable.","Unusual activity in our small community, crafts seem to hover with lights not like anything recognizable. Two nights in a row I have observed some unidentified crafts. The lights seem to pulsate and shimmery lights.  Color varies, red, bluish green and that bright bluish white like some of the new cars have today. The crafts seemed to hover over an area and occasionally there seemed to be lightening happening last night but tonight the appearance was different it was almost like ripples of lightening. I saw the crafts that seem to hover several nights now but tonight is the third night in a row that I have witnessed the crafts.  Funny thing was that at 2 am the rooster began to crow and tonight the cows were mooing and almost moaning as well ... quite unusual it seems for the animals to be making any commotion like that during the wee hours of the night. I have seen these crafts over a few year period now but never for so many nights in a row like the past three nights.  The crafts seem to move so slow that if there weren't trees as a guide to their movements you would not really realize they had moved at all!!!   So strange for our community to witness such strange things!",Boonville,NC,2005-09-04,Sep 2005,200509,2005,9,00:00:00,0.00,36.209,-80.692,cigar,0.125,3,180,"10,800.00",3+ hours,http://www.nuforc.org/webreports/101/S101963.html,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,1,1,0
"Disk, at night, left stream of lights, time lapse.","Disk, at night, left stream of lights, time lapse I was fishing in Saginaw Bay in the thumb area of Michigan.  I was fishing for catfish at about 2 in the morning.  As far as I am aware my friend and I were the only ones on the water.  We noticed a large disk in the air.  It hovered about 100 yards above us.  The UFO was directly above my boat.  The UFO was about 50 feet in diameter and 20 ft high.  Before the object appeared there was no wind but when the object appeared the water around me got incredibly choppy it nearly turned my boat over.  Then the water calmed down and the object took off at light speed and I blinked and it was gone.  It left a trail of colors like the northern lights.  The experience felt like 3 minutes but when I looked at my phone it was 5:20 am.",Bay City,MI,2005-07-23,Jul 2005,200507,2005,7,01:56:00,0.00,43.59178958,-83.89712396,disk,0.125,3,180,"10,800.00",3 hours,http://www.nuforc.org/webreports/104/S104132.html,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0
Plasmic bluish white orb of light east of  Mono Lake.,"Plasmic bluish white orb of light east of  Mono Lake The night was cold, moonless and clear. I was northeast of Lee Vining and while star gazing with a telescope I noticed a brillant light sitting on the ground appox 3 miles away near the east shore of Mono Lake. It rose straight off the ground and began making slow circles in the sky. Absolutely silent. At one point it passed over a mountain ridge to the east and lit up the entire ridge line so that every detail of the terrain could be seen. I later checked a topo map and this ridge was almost 12 miles away. It was so brillant that I noticed that when it came within 3 miles of me that my body casted a shadow on the ground. I also had a pair of binoculars but the orb of light was just a bluish white plasmic blob. At no time did I ever see the red and green running lights that would readily identify it as an aircraft.  At one point it was joined by a much smaller and dimmer orb of light. Through a pair of binoculars this orb also had no red or green running lights and made no sounds. They circled each other and made severl ""passes"" at each other. I eventually lost track of the smaller object and don't know what happened too it.  After about 2.5 hours the large bright orb of light landed on the ground about three miles from me. I put all my scope gear on the backseat of my car, turned off the lights, and headed slowly down a dirt road directly towards the object. When I got within two miles of it, the dirt road dipped into a dry wash that was about 1/4 of a mile wide, and when I came up the other side of the wash the object was gone. I turned of the engine and stepped into the darkness but the object was gone. The only sound were several upset packs of coyotes howling in the darkness. THEY WERE SPOOKED AND SO WAS I.  I have never reported this incident until now. I have seen a lot of strange lights in the sky after twenty years of star gazing but I could always explain them away. But this one has me baffled. At no time did I ever hear the tell tale noise of an aircraft engine. I am reporting it now because I noticed in your data of sightings that others at the same time camping near Bodie also saw the same thing but I was much closer. There had been several strong series of earthquakes in the area and I often wonder if what I observed were ""earthquake lights"".",Lee Vining,CA,2005-11-23,Nov 2005,200511,2005,11,21:00:00,0.00,38.035,-118.8256,light,0.104166667,2.5,150,"9,000.00",2.5 hours,http://www.nuforc.org/webreports/063/S63064.html,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,1,0
